neighborhood,ndvi_mean_1km,ndvi_pct_valid,lst_mean_c,lst_pct_valid
South Eglinton-Davisville,0.5327857136726379,22.22222222222222,33.04628372192383,22.22222222222222
North Toronto,0.4648725986480713,25.0,33.319087982177734,25.0
Dovercourt Village,0.4253185987472534,12.5,35.03888702392578,12.5
Junction-Wallace Emerson,0.37140512466430664,25.0,34.62175369262695,25.0
Yonge-Bay Corridor,0.25319284200668335,11.11111111111111,33.64036560058594,11.11111111111111
Bay-Cloverhill,0.3512089252471924,16.666666666666664,33.74846267700195,16.666666666666664
Bendale-Glen Andrew,0.4897274374961853,35.0,33.5501708984375,35.0
Downsview,0.45326027274131775,25.71428571428571,32.81369400024414,25.71428571428571
Oakdale-Beverley Heights,0.508791446685791,29.166666666666668,33.012840270996094,29.166666666666668
Avondale,0.5258198380470276,25.0,31.730865478515625,25.0
East Willowdale,0.5409722924232483,12.5,32.4701042175293,12.5
Yonge-Doris,0.446564257144928,11.11111111111111,32.437198638916016,11.11111111111111
Fenside-Parkwoods,0.5882818698883057,26.666666666666668,31.976245880126953,26.666666666666668
Parkwoods-O'Connor Hills,0.6086878776550293,20.0,31.958539962768555,20.0
East L'Amoreaux,0.5684040784835815,31.25,33.2017936706543,31.25
L'Amoreaux West,0.5340981483459473,20.0,32.900821685791016,20.0
Malvern East,0.5233812928199768,17.142857142857142,33.28785705566406,17.142857142857142
Malvern West,0.44239407777786255,20.833333333333336,33.93381881713867,20.833333333333336
Morningside Heights,0.7003365755081177,34.375,28.39215660095215,34.375
West Rouge,0.6744313836097717,21.428571428571427,28.622459411621094,21.428571428571427
Woburn North,0.4805261492729187,20.0,33.17181396484375,20.0
Golfdale-Cedarbrae-Woburn,0.6234020590782166,16.666666666666664,30.9910945892334,16.666666666666664
Guildwood,0.6624264717102051,16.666666666666664,26.828617095947266,16.666666666666664
Scarborough Village,0.6679108738899231,25.0,27.621313095092773,25.0
Eglinton East,0.5142985582351685,12.5,31.366525650024414,12.5
West Hill,0.6514395475387573,31.25,28.036819458007812,31.25
Morningside,0.6620807647705078,26.666666666666668,31.10980987548828,26.666666666666668
Highland Creek,0.5711121559143066,21.428571428571427,30.780038833618164,21.428571428571427
Centennial Scarborough,0.6534236073493958,28.000000000000004,27.497499465942383,28.000000000000004
Milliken,0.4282403886318207,22.22222222222222,34.226993560791016,22.22222222222222
Agincourt North,0.46711859107017517,22.857142857142858,33.79780578613281,22.857142857142858
Agincourt South-Malvern West,0.4610196352005005,28.125,33.12212371826172,28.125
Dorset Park,0.4052586555480957,16.666666666666664,33.699951171875,16.666666666666664
Ionview,0.5153568983078003,12.5,32.99640655517578,12.5
Kennedy Park,0.5408488512039185,20.0,32.493682861328125,20.0
Cliffcrest,0.65361487865448,25.71428571428571,29.05514907836914,25.71428571428571
Birchcliffe-Cliffside,0.5943453907966614,11.11111111111111,28.623640060424805,11.11111111111111
Downtown Yonge East,0.24927201867103577,11.11111111111111,32.27785873413086,11.11111111111111
Church-Wellesley,,0.0,,0.0
St Lawrence-East Bayfront-The Islands,0.41851505637168884,24.074074074074073,24.256603240966797,24.074074074074073
Harbourfront-Cityplace,0.3147490620613098,33.33333333333333,27.79918670654297,33.33333333333333
Wellington Place,0.2533765137195587,22.22222222222222,30.52055549621582,22.22222222222222
Fort York-Liberty Village,0.3713985085487366,25.0,26.35253143310547,25.0
West Queen West,0.4887107014656067,12.5,31.651758193969727,12.5
Humber Bay Shores,0.5108730792999268,10.0,28.781051635742188,10.0
Mimico-Queensway,0.4342845380306244,28.57142857142857,31.1959285736084,28.57142857142857
Etobicoke City Centre,0.3326088488101959,22.22222222222222,33.283321380615234,22.22222222222222
Islington,0.5822950601577759,20.0,32.43215560913086,20.0
Bendale South,0.5932082533836365,40.0,32.12985610961914,40.0
Caledonia-Fairbank,0.47890356183052063,11.11111111111111,34.54768753051758,11.11111111111111
Briar Hill-Belgravia,0.4159735441207886,37.5,34.39073944091797,37.5
Oakwood Village,0.4089474678039551,25.0,35.157997131347656,25.0
Humewood-Cedarvale,0.5330426692962646,12.5,35.22345733642578,12.5
Lawrence Park North,0.5815749764442444,13.333333333333334,33.29853057861328,13.333333333333334
Lawrence Park South,0.6288111209869385,16.666666666666664,33.42625427246094,16.666666666666664
Forest Hill North,0.5798794627189636,13.333333333333334,34.05926513671875,13.333333333333334
Forest Hill South,0.5875089168548584,25.0,33.91573715209961,25.0
Yonge-Eglinton,0.5330190062522888,8.333333333333332,33.31434631347656,8.333333333333332
Mount Pleasant East,0.6163283586502075,8.0,32.29549026489258,8.0
Rosedale-Moore Park,0.6210311651229858,25.0,31.897769927978516,25.0
Yonge-St. Clair,0.5493124723434448,22.22222222222222,32.825653076171875,22.22222222222222
Casa Loma,0.5775569081306458,16.666666666666664,33.73945617675781,16.666666666666664
Annex,0.44160887598991394,16.666666666666664,34.930782318115234,16.666666666666664
Wychwood,0.45402613282203674,25.0,35.31308364868164,25.0
